historical_case_id,district_id,withdrawal_location_id,fraud_type,fraud_amount,transaction_hour,city,latitude,longitude,account_risk,transaction_velocity,distance_to_location,atm_density,historical_similarity,withdrawal_zone,outcome
HC30182,TN29,OSM01562,Card Skimming,210042.16,5,Thoothukudi,8.7929,78.1204,0.52,5,8.45,12,0.67,OSM01562,Withdrawal Detected
HC30183,TN26,OSM01176,OTP Fraud,267046.54,8,Theni,10.4504,77.5155,0.9,18,25.01,7,0.95,OSM01176,Withdrawal Attempted
HC30184,TN16,OSM00379,OTP Fraud,138427.61,20,Kanniyakumari,8.2987,77.4441,0.43,4,47.48,11,0.43,OSM00379,Withdrawal Detected
HC30185,TN04,OSM00110,Investment Scam,61445.48,15,Coimbatore,11.059,76.9971,0.65,5,11.47,18,0.19,OSM00110,Withdrawal Attempted
HC30186,TN29,OSM00899,Card Skimming,200195.91,4,Thoothukudi,8.5193,78.1169,0.97,24,46.56,17,0.1,OSM00899,Withdrawal Attempted
HC30187,TN37,OSM00553,Romance Scam,50727.21,15,Viluppuram,11.9334,79.4926,0.93,14,23.28,20,0.48,OSM00553,Withdrawal Detected
HC30188,TN04,OSM00458,Job Fraud,16450.39,10,Coimbatore,11.0019,77.0284,0.77,21,10.53,20,0.27,OSM00458,Withdrawal Detected
HC30189,TN04,OSM00808,Card Skimming,180907.07,13,Coimbatore,11.2453,76.8721,0.97,8,10.09,13,0.53,OSM00808,Withdrawal Detected
HC30190,TN03,OSM01308,Romance Scam,289320.38,17,Chennai,13.1839,80.3086,0.85,19,45.16,13,0.96,OSM01308,Withdrawal Detected
HC30191,TN08,OSM00474,SIM Swap,221988.2,4,Erode,11.45,77.7716,0.86,6,26.19,4,0.74,OSM00474,No Activity
HC30192,TN03,OSM00402,Card Skimming,257290.79,23,Chennai,13.0339,80.2497,0.77,12,9.45,9,0.65,OSM00402,No Activity
HC30193,TN13,OSM01463,Investment Scam,201063.09,11,Madurai,9.9321,78.0939,0.84,24,17.87,9,0.17,OSM01463,Withdrawal Detected
HC30194,TN03,OSM00793,Job Fraud,228294.36,16,Chennai,13.0533,80.2473,0.69,9,28.51,3,0.54,OSM00793,Withdrawal Attempted
HC30195,TN30,OSM00653,Phishing,237396.08,8,Tiruchirappalli,10.7719,78.7953,0.71,4,11.83,14,0.52,OSM00653,Withdrawal Detected
HC30196,TN30,OSM00429,Loan Fraud,87461.38,3,Tiruchirappalli,10.8204,78.6837,0.65,8,22.22,19,0.83,OSM00429,Withdrawal Attempted
HC30197,TN10,OSM00740,Loan Fraud,263543.09,11,Kancheepuram,12.6649,79.5404,0.99,7,24.59,19,0.54,OSM00740,No Activity
HC30198,TN27,OSM01307,SIM Swap,53666.24,21,Tiruvallur,12.9323,80.0453,0.52,4,11.26,8,0.2,OSM01307,Withdrawal Detected
HC30199,TN13,OSM00432,Card Skimming,75688.87,23,Madurai,9.9487,78.1624,0.54,14,4.54,3,0.82,OSM00432,Withdrawal Attempted
HC30200,TN29,OSM01395,SIM Swap,37247.71,19,Thoothukudi,8.7921,78.1425,0.97,5,35.95,7,0.27,OSM01395,No Activity
HC30201,TN05,OSM01092,SIM Swap,51560.8,10,Cuddalore,11.6043,79.5439,0.43,4,27.63,12,0.24,OSM01092,Withdrawal Attempted
HC30202,TN37,OSM01000,Job Fraud,202251.03,16,Viluppuram,11.9378,79.5033,0.48,8,40.79,2,0.52,OSM01000,Withdrawal Attempted
HC30203,TN29,OSM01397,Job Fraud,2263.71,7,Thoothukudi,8.8081,78.1484,0.5,15,36.27,9,0.31,OSM01397,Withdrawal Detected
HC30204,TN09,OSM01283,Loan Fraud,179330.41,0,Kallakurichi,11.5346,79.1264,0.87,3,13.51,15,0.82,OSM01283,No Activity
HC30205,TN16,OSM00503,OTP Fraud,278628.05,6,Kanniyakumari,8.1736,77.4397,0.64,2,18.59,8,0.96,OSM00503,No Activity
HC30206,TN03,OSM01308,Phishing,287755.54,22,Chennai,13.1839,80.3086,0.41,5,32.19,12,0.18,OSM01308,Withdrawal Detected
HC30207,TN34,OSM00535,Romance Scam,289030.7,14,Tiruvannamalai,12.5141,79.1284,0.82,18,45.51,12,0.4,OSM00535,Withdrawal Detected
HC30208,TN03,OSM00637,Job Fraud,192485.77,1,Chennai,12.9286,80.1118,0.83,15,4.77,11,0.7,OSM00637,Withdrawal Detected
HC30209,TN30,OSM00396,Romance Scam,239904.42,12,Tiruchirappalli,10.8484,78.6898,0.93,8,11.51,15,0.95,OSM00396,Withdrawal Attempted
HC30210,TN22,OSM00413,SIM Swap,184419.37,20,Salem,11.6294,78.1485,0.47,3,7.61,5,0.82,OSM00413,Withdrawal Detected
HC30211,TN22,OSM00413,SIM Swap,256969.95,8,Salem,11.6294,78.1485,0.72,22,21.89,2,0.94,OSM00413,Withdrawal Detected
HC30212,TN13,OSM00431,UPI Fraud,236013.37,0,Madurai,9.9487,78.1625,0.72,9,25.71,9,0.63,OSM00431,No Activity
HC30213,TN12,OSM01185,OTP Fraud,150178.36,4,Krishnagiri,12.7358,77.8284,0.56,22,26.34,20,0.73,OSM01185,No Activity
HC30214,TN03,OSM00210,Identity Theft,112558.71,21,Chennai,12.9828,80.1916,0.63,3,30.25,4,0.88,OSM00210,No Activity
HC30215,TN12,OSM01233,Loan Fraud,79845.87,0,Krishnagiri,12.665,78.0061,0.63,6,31.91,12,0.45,OSM01233,Withdrawal Detected
HC30216,TN12,OSM01233,Phishing,174449.76,0,Krishnagiri,12.665,78.0061,0.62,14,24.2,11,0.2,OSM01233,No Activity
HC30217,TN31,OSM00939,OTP Fraud,228453.05,21,Tirunelveli,8.5139,77.5569,0.69,24,28.49,9,0.33,OSM00939,Withdrawal Detected
HC30218,TN35,OSM00032,Romance Scam,132625.7,12,The Nilgiris,11.3003,76.9386,0.73,10,25.66,4,0.63,OSM00032,Withdrawal Detected
HC30219,TN03,OSM00397,SIM Swap,21527.85,22,Chennai,13.0552,80.2578,0.46,18,49.23,2,0.27,OSM00397,No Activity
HC30220,TN13,OSM00744,Phishing,273238.19,8,Madurai,9.9154,78.1255,0.93,13,12.89,11,0.96,OSM00744,Withdrawal Detected
HC30221,TN03,OSM00462,Romance Scam,202369.47,20,Chennai,13.0384,80.247,0.75,14,1.46,15,0.68,OSM00462,Withdrawal Detected
HC30222,TN13,OSM01410,Phishing,6183.92,11,Madurai,9.9214,78.1278,0.79,4,34.61,7,0.9,OSM01410,Withdrawal Detected
HC30223,TN03,OSM00965,Card Skimming,274733.71,22,Chennai,13.0985,80.2923,0.45,11,37.89,5,0.13,OSM00965,No Activity
HC30224,TN04,OSM00668,Investment Scam,297541.07,9,Coimbatore,11.0171,76.9643,0.61,13,0.73,3,0.6,OSM00668,Withdrawal Detected
HC30225,TN12,OSM01345,Card Skimming,245859.32,8,Krishnagiri,12.7493,77.8061,0.87,19,32.39,1,0.62,OSM01345,No Activity
HC30226,TN12,OSM01345,SIM Swap,288527.94,17,Krishnagiri,12.7493,77.8061,0.53,4,28.87,18,0.91,OSM01345,Withdrawal Detected
HC30227,TN38,OSM01243,SIM Swap,133381.61,16,Virudhunagar,9.5943,77.9541,0.79,22,39.82,8,0.32,OSM01243,No Activity
HC30228,TN25,OSM01355,SIM Swap,143711.76,6,Thanjavur,10.7632,79.1284,0.51,20,2.06,7,0.73,OSM01355,Withdrawal Detected
HC30229,TN22,OSM00343,OTP Fraud,103170.76,6,Salem,11.6322,78.1276,0.77,3,14.93,3,0.13,OSM00343,No Activity
HC30230,TN12,OSM01233,Phishing,88100.59,11,Krishnagiri,12.665,78.0061,0.7,24,7.92,7,1.0,OSM01233,No Activity
HC30231,TN38,OSM01376,Identity Theft,117173.83,0,Virudhunagar,9.1658,77.8755,0.63,25,45.87,5,0.5,OSM01376,Withdrawal Detected
HC30232,TN08,OSM00766,Romance Scam,84882.01,5,Erode,11.3481,77.719,0.44,5,9.11,16,0.12,OSM00766,Withdrawal Detected
HC30233,TN09,OSM01282,OTP Fraud,170570.52,11,Kallakurichi,11.5377,79.1295,0.79,16,48.31,5,0.91,OSM01282,Withdrawal Attempted
HC30234,TN03,OSM00683,Investment Scam,184500.9,5,Chennai,12.9774,80.2513,0.99,24,37.98,15,0.86,OSM00683,Withdrawal Detected
HC30235,TN03,OSM01520,Job Fraud,152673.46,16,Chennai,13.0561,80.1934,0.44,11,42.63,17,0.65,OSM01520,Withdrawal Attempted
HC30236,TN35,OSM00289,Identity Theft,120346.35,8,The Nilgiris,11.4237,76.8667,0.98,13,17.42,17,0.56,OSM00289,Withdrawal Detected
HC30237,TN04,OSM00584,SIM Swap,208106.63,6,Coimbatore,10.8692,76.8958,0.54,19,7.87,3,0.73,OSM00584,No Activity
HC30238,TN03,OSM00159,Card Skimming,22963.89,14,Chennai,12.9464,80.2398,0.51,12,49.04,12,0.37,OSM00159,Withdrawal Detected
HC30239,TN32,OSM01298,SIM Swap,175453.15,2,Tirupathur,12.3103,78.4841,0.69,10,40.13,9,0.25,OSM01298,No Activity
HC30240,TN04,OSM00395,Romance Scam,137988.34,9,Coimbatore,11.0286,76.8975,0.48,10,17.61,18,0.71,OSM00395,Withdrawal Detected
HC30241,TN17,OSM00264,Card Skimming,299900.42,21,Namakkal,11.2074,78.1805,0.43,23,24.67,9,0.28,OSM00264,Withdrawal Detected
HC30242,TN04,OSM00361,Card Skimming,204148.7,4,Coimbatore,11.025,77.0117,0.48,3,40.85,20,0.15,OSM00361,No Activity
HC30243,TN38,OSM01508,Card Skimming,115596.54,14,Virudhunagar,9.7428,77.9813,0.5,12,14.18,10,0.63,OSM01508,Withdrawal Attempted
HC30244,TN05,OSM01213,OTP Fraud,42702.85,1,Cuddalore,11.7232,79.7684,0.53,25,5.43,9,0.42,OSM01213,No Activity
HC30245,TN36,OSM00810,OTP Fraud,86047.75,10,Vellore,12.95,79.1414,0.84,10,1.38,14,0.81,OSM00810,Withdrawal Attempted
HC30246,TN29,OSM01026,Job Fraud,57603.61,14,Thoothukudi,8.8158,78.1336,0.78,13,31.34,10,0.92,OSM01026,Withdrawal Attempted
HC30247,TN03,OSM00795,Identity Theft,40093.77,14,Chennai,13.0586,80.2425,0.84,13,4.46,9,0.29,OSM00795,No Activity
HC30248,TN05,OSM00881,Identity Theft,79120.86,13,Cuddalore,11.6051,79.5069,0.87,19,19.85,1,0.78,OSM00881,Withdrawal Detected
HC30249,TN03,OSM00928,Loan Fraud,186629.26,17,Chennai,13.0896,80.2853,0.64,9,31.9,15,0.12,OSM00928,No Activity
HC30250,TN13,OSM01413,UPI Fraud,79657.67,20,Madurai,9.9365,78.1428,0.91,10,39.03,12,0.93,OSM01413,Withdrawal Attempted
HC30251,TN06,OSM01377,Card Skimming,70174.35,13,Dharmapuri,12.1795,78.1723,0.52,25,33.7,10,0.74,OSM01377,Withdrawal Detected
HC30252,TN35,OSM00029,SIM Swap,131809.3,14,The Nilgiris,11.3669,76.7666,0.47,18,7.48,3,0.77,OSM00029,Withdrawal Attempted
HC30253,TN31,OSM01323,Investment Scam,144814.11,5,Tirunelveli,8.7312,77.7084,0.87,24,15.79,16,0.77,OSM01323,Withdrawal Attempted
HC30254,TN22,OSM01444,SIM Swap,167297.73,22,Salem,11.6715,78.1138,0.88,23,11.09,10,0.21,OSM01444,Withdrawal Attempted
HC30255,TN03,OSM00375,Card Skimming,38240.23,11,Chennai,12.9068,80.2291,0.94,17,41.42,20,0.27,OSM00375,Withdrawal Detected
HC30256,TN14,OSM01096,Loan Fraud,89353.13,17,Mayiladuthurai,11.4275,79.5402,0.48,19,18.27,20,0.96,OSM01096,No Activity
HC30257,TN19,OSM00476,Phishing,274386.4,8,Pudukkottai,10.0837,78.7708,0.72,17,18.96,18,0.79,OSM00476,Withdrawal Detected
HC30258,TN03,OSM00147,Loan Fraud,187105.0,4,Chennai,13.0673,80.2053,0.93,2,7.45,11,0.66,OSM00147,Withdrawal Attempted
HC30259,TN19,OSM01082,Romance Scam,99964.41,11,Pudukkottai,10.3825,78.8062,0.46,19,40.3,12,0.17,OSM01082,Withdrawal Attempted
HC30260,TN29,OSM01390,SIM Swap,235548.58,21,Thoothukudi,8.8035,78.1369,0.49,12,13.02,19,0.71,OSM01390,Withdrawal Attempted
HC30261,TN03,OSM00148,Card Skimming,226802.97,10,Chennai,13.0252,80.2225,0.51,18,24.8,1,0.17,OSM00148,Withdrawal Attempted
HC30262,TN13,OSM01477,Job Fraud,166608.19,2,Madurai,9.9279,78.1487,0.48,22,32.65,7,0.7,OSM01477,Withdrawal Detected
HC30263,TN02,OSM00038,Romance Scam,282377.51,2,Chengalpattu,12.6179,80.1941,0.81,23,23.36,18,0.74,OSM00038,Withdrawal Detected
HC30264,TN03,OSM00277,OTP Fraud,293562.91,15,Chennai,13.0313,80.2244,0.7,20,6.34,20,0.24,OSM00277,No Activity
HC30265,TN03,OSM00075,UPI Fraud,76123.63,21,Chennai,12.9772,80.262,0.84,21,4.17,6,0.48,OSM00075,No Activity
HC30266,TN13,OSM00747,Loan Fraud,39282.03,9,Madurai,9.9186,78.1115,0.62,15,5.27,9,0.53,OSM00747,No Activity
HC30267,TN04,OSM00696,SIM Swap,187271.92,17,Coimbatore,11.0069,76.9524,0.78,10,8.75,10,0.15,OSM00696,No Activity
HC30268,TN16,OSM01068,Card Skimming,205946.6,19,Kanniyakumari,8.1479,77.5705,0.45,11,9.35,1,0.52,OSM01068,Withdrawal Detected
HC30269,TN24,OSM00669,Job Fraud,216406.79,7,Tenkasi,8.957,77.2768,0.93,8,35.43,1,0.98,OSM00669,Withdrawal Detected
HC30270,TN03,OSM00140,UPI Fraud,127617.48,2,Chennai,12.9777,80.2619,0.53,24,47.35,2,0.95,OSM00140,No Activity
HC30271,TN27,OSM01307,Job Fraud,118559.8,5,Tiruvallur,12.9323,80.0453,0.94,2,20.81,10,0.79,OSM01307,No Activity
HC30272,TN04,OSM00012,Phishing,199825.87,7,Coimbatore,10.9951,76.9711,0.64,13,7.92,16,0.8,OSM00012,Withdrawal Attempted
HC30273,TN16,OSM00377,Job Fraud,83714.28,19,Kanniyakumari,8.2741,77.4403,0.99,20,3.01,15,0.16,OSM00377,Withdrawal Detected
HC30274,TN03,OSM00266,Romance Scam,216286.43,21,Chennai,12.9858,80.2292,0.94,17,16.96,8,0.94,OSM00266,No Activity
HC30275,TN02,OSM00471,Investment Scam,146407.28,21,Chengalpattu,12.7414,80.1963,0.62,5,2.46,1,0.58,OSM00471,Withdrawal Attempted
HC30276,TN34,OSM01440,Loan Fraud,16004.89,16,Tiruvannamalai,11.9605,79.1829,0.58,8,17.59,2,0.6,OSM01440,No Activity
HC30277,TN36,OSM01135,SIM Swap,200990.81,11,Vellore,12.9732,79.1642,0.72,13,5.1,20,0.65,OSM01135,Withdrawal Attempted
HC30278,TN03,OSM00723,UPI Fraud,15076.55,10,Chennai,13.0042,80.2017,0.89,21,16.74,20,0.25,OSM00723,No Activity
HC30279,TN05,OSM01073,Job Fraud,131786.66,1,Cuddalore,11.7469,79.7565,0.75,14,8.7,19,0.94,OSM01073,Withdrawal Detected
HC30280,TN12,OSM01342,Loan Fraud,222440.24,19,Krishnagiri,12.6615,78.013,0.8,14,20.96,14,0.29,OSM01342,Withdrawal Detected
HC30281,TN03,OSM00577,SIM Swap,288240.86,1,Chennai,12.8894,80.1439,0.83,23,48.05,17,0.13,OSM00577,Withdrawal Detected
HC30282,TN31,OSM00916,Job Fraud,131603.68,20,Tirunelveli,8.7263,77.6756,0.95,17,25.62,10,0.92,OSM00916,Withdrawal Attempted
HC30283,TN19,OSM01141,SIM Swap,157457.2,6,Pudukkottai,10.0735,78.7822,0.99,10,37.38,17,0.29,OSM01141,Withdrawal Detected
HC30284,TN31,OSM00907,Phishing,52603.65,22,Tirunelveli,8.7169,77.7326,0.73,25,14.39,12,0.86,OSM00907,Withdrawal Attempted
HC30285,TN24,OSM01487,SIM Swap,295466.88,22,Tenkasi,9.0893,77.3478,0.96,17,38.52,9,0.99,OSM01487,Withdrawal Detected
HC30286,TN17,OSM00260,Identity Theft,41574.22,2,Namakkal,11.2189,78.161,0.91,25,2.02,18,0.91,OSM00260,Withdrawal Attempted
HC30287,TN13,OSM00486,Identity Theft,74409.62,22,Madurai,9.924,78.1491,0.8,4,38.51,7,0.23,OSM00486,Withdrawal Detected
HC30288,TN29,OSM01335,Phishing,173618.33,2,Thoothukudi,8.7877,78.1332,0.89,22,48.59,15,0.43,OSM01335,No Activity
HC30289,TN25,OSM00987,Identity Theft,185962.84,12,Thanjavur,10.7297,79.0169,0.98,18,27.07,16,0.55,OSM00987,Withdrawal Detected
HC30290,TN37,OSM01431,Investment Scam,278343.55,18,Viluppuram,11.7786,79.527,0.92,19,17.61,9,0.24,OSM01431,Withdrawal Detected
HC30291,TN14,OSM00993,OTP Fraud,127388.24,20,Mayiladuthurai,11.3547,79.5546,0.42,7,5.02,11,0.65,OSM00993,Withdrawal Detected
HC30292,TN09,OSM01160,OTP Fraud,207156.69,7,Kallakurichi,11.477,79.0585,0.47,2,23.04,17,0.36,OSM01160,Withdrawal Attempted
HC30293,TN12,OSM01437,Romance Scam,190670.71,12,Krishnagiri,12.7241,77.8331,0.82,16,35.59,18,1.0,OSM01437,Withdrawal Detected
HC30294,TN22,OSM00345,Card Skimming,64343.76,17,Salem,11.6569,78.1644,0.95,22,23.62,19,0.52,OSM00345,No Activity
HC30295,TN30,OSM00561,Phishing,75204.79,20,Tiruchirappalli,10.8049,78.679,0.79,9,41.32,16,0.92,OSM00561,Withdrawal Detected
HC30296,TN22,OSM00771,Card Skimming,99162.72,3,Salem,11.628,78.538,0.58,23,1.92,17,0.38,OSM00771,Withdrawal Attempted
HC30297,TN04,OSM00752,OTP Fraud,35836.37,5,Coimbatore,11.2414,76.96,0.76,11,13.9,12,0.34,OSM00752,Withdrawal Detected
HC30298,TN05,OSM00895,OTP Fraud,212260.56,20,Cuddalore,11.606,79.482,0.98,17,13.99,18,0.57,OSM00895,Withdrawal Detected
HC30299,TN05,OSM01218,UPI Fraud,243156.35,12,Cuddalore,11.7442,79.7591,0.42,14,38.64,2,0.76,OSM01218,No Activity
HC30300,TN04,OSM00727,Job Fraud,108173.33,3,Coimbatore,11.0224,76.9369,0.63,19,45.4,12,0.76,OSM00727,Withdrawal Detected
HC30301,TN24,OSM00141,Romance Scam,189174.21,17,Tenkasi,8.9788,77.4184,0.85,16,34.52,18,0.19,OSM00141,No Activity
HC30302,TN32,OSM00733,UPI Fraud,152804.37,4,Tirupathur,12.6764,78.6224,0.98,8,48.72,18,0.99,OSM00733,No Activity
HC30303,TN13,OSM00744,OTP Fraud,234871.82,12,Madurai,9.9154,78.1255,0.87,24,18.21,7,0.24,OSM00744,Withdrawal Attempted
HC30304,TN33,OSM00701,Identity Theft,234093.66,18,Tiruppur,11.0064,77.5604,0.74,23,5.98,7,0.94,OSM00701,Withdrawal Detected
HC30305,TN05,OSM01215,UPI Fraud,24323.83,19,Cuddalore,11.6922,79.7454,0.98,4,11.3,10,0.84,OSM01215,No Activity
HC30306,TN29,OSM01388,UPI Fraud,17302.54,7,Thoothukudi,8.7965,78.1332,0.64,4,18.27,9,0.84,OSM01388,Withdrawal Attempted
HC30307,TN04,OSM00116,OTP Fraud,131767.58,12,Coimbatore,10.9948,76.9593,0.77,4,16.98,18,0.69,OSM00116,No Activity
HC30308,TN21,OSM00498,SIM Swap,28576.85,1,Ranipet,12.9412,79.3355,0.56,10,22.99,13,0.39,OSM00498,Withdrawal Detected
HC30309,TN04,OSM00440,Phishing,126561.8,6,Coimbatore,11.0139,76.9535,0.7,4,8.99,18,0.69,OSM00440,No Activity
HC30310,TN11,OSM00834,Phishing,234205.78,18,Karur,10.9679,78.0489,0.72,20,7.85,18,0.64,OSM00834,Withdrawal Attempted
HC30311,TN13,OSM00536,Investment Scam,148896.36,9,Madurai,9.9187,78.1112,0.85,20,27.96,9,0.51,OSM00536,No Activity
HC30312,TN03,OSM00493,Identity Theft,237964.59,1,Chennai,12.9267,80.1266,0.79,7,17.9,9,0.34,OSM00493,No Activity
HC30313,TN05,OSM00855,Romance Scam,179690.61,19,Cuddalore,12.196,79.9424,0.69,16,42.9,12,0.43,OSM00855,No Activity
HC30314,TN03,OSM00650,Job Fraud,226924.17,15,Chennai,13.0614,80.2757,0.76,6,1.65,9,0.61,OSM00650,Withdrawal Detected
HC30315,TN05,OSM01198,UPI Fraud,298827.85,19,Cuddalore,11.6475,79.5891,0.62,11,32.27,9,0.37,OSM01198,Withdrawal Detected
HC30316,TN30,OSM00737,Job Fraud,113035.74,21,Tiruchirappalli,10.9834,78.774,0.61,4,30.83,4,0.85,OSM00737,Withdrawal Detected
HC30317,TN05,OSM01103,OTP Fraud,70092.37,23,Cuddalore,11.7153,79.7682,0.47,23,1.11,16,0.58,OSM01103,Withdrawal Detected
HC30318,TN31,OSM01512,Investment Scam,210449.45,15,Tirunelveli,8.8474,77.7738,0.66,19,40.7,16,0.8,OSM01512,Withdrawal Detected
HC30319,TN17,OSM00257,Job Fraud,193705.01,23,Namakkal,11.2182,78.1668,0.95,22,17.76,2,0.91,OSM00257,Withdrawal Attempted
HC30320,TN22,OSM00966,OTP Fraud,69566.65,8,Salem,11.7709,78.0545,0.7,21,36.34,5,0.44,OSM00966,Withdrawal Detected
HC30321,TN03,OSM00217,Identity Theft,23829.49,19,Chennai,13.0149,80.1744,0.86,20,7.92,10,0.94,OSM00217,No Activity
HC30322,TN03,OSM00975,Card Skimming,162810.1,10,Chennai,13.0912,80.2825,0.8,19,39.35,8,0.87,OSM00975,Withdrawal Attempted
HC30323,TN04,OSM00642,Identity Theft,200194.9,19,Coimbatore,11.0254,76.9062,0.59,10,45.12,14,0.53,OSM00642,Withdrawal Attempted
HC30324,TN03,OSM00039,Identity Theft,187910.74,12,Chennai,12.9458,80.1382,0.87,17,40.76,5,0.86,OSM00039,No Activity
HC30325,TN30,OSM00293,OTP Fraud,208280.05,2,Tiruchirappalli,10.7845,78.7757,0.85,5,45.47,11,0.4,OSM00293,No Activity
HC30326,TN09,OSM01160,UPI Fraud,50768.16,0,Kallakurichi,11.477,79.0585,0.67,25,17.76,1,0.82,OSM01160,No Activity
HC30327,TN29,OSM01236,Phishing,248283.67,17,Thoothukudi,8.7736,78.0857,0.57,15,2.66,1,0.58,OSM01236,No Activity
HC30328,TN16,OSM01501,Romance Scam,281921.0,14,Kanniyakumari,8.0914,77.5494,0.61,9,42.54,12,0.61,OSM01501,No Activity
HC30329,TN13,OSM01489,Job Fraud,92570.39,7,Madurai,9.9285,78.0954,0.5,11,39.71,2,0.91,OSM01489,Withdrawal Attempted
HC30330,TN12,OSM01186,SIM Swap,114302.97,10,Krishnagiri,12.7357,77.8289,0.85,11,23.3,10,0.15,OSM01186,Withdrawal Detected
HC30331,TN11,OSM00835,SIM Swap,176659.56,4,Karur,10.9681,78.049,0.79,7,12.15,6,0.83,OSM00835,Withdrawal Attempted
HC30332,TN04,OSM00887,Loan Fraud,122158.53,2,Coimbatore,10.9958,76.9779,0.88,7,31.0,19,0.67,OSM00887,Withdrawal Attempted
HC30333,TN03,OSM00539,Investment Scam,18218.48,23,Chennai,12.9371,80.1577,0.95,19,13.18,20,0.82,OSM00539,Withdrawal Detected
HC30334,TN03,OSM00276,Romance Scam,122717.46,19,Chennai,13.0312,80.2244,0.45,15,4.13,5,0.99,OSM00276,Withdrawal Attempted
HC30335,TN03,OSM00435,UPI Fraud,3550.27,5,Chennai,12.9961,80.2678,0.93,25,42.94,2,0.45,OSM00435,Withdrawal Attempted
HC30336,TN32,OSM01300,Identity Theft,124886.38,5,Tirupathur,12.291,78.4056,0.81,9,25.42,4,0.22,OSM01300,Withdrawal Attempted
HC30337,TN04,OSM00705,Identity Theft,94117.6,0,Coimbatore,11.0222,77.103,0.95,18,26.16,9,0.2,OSM00705,Withdrawal Detected
HC30338,TN02,OSM00470,Job Fraud,248277.78,18,Chengalpattu,12.7421,80.198,0.7,16,29.58,9,0.43,OSM00470,Withdrawal Attempted
HC30339,TN05,OSM00873,Loan Fraud,245036.31,15,Cuddalore,11.6062,79.5085,0.84,18,35.07,3,0.46,OSM00873,Withdrawal Attempted
HC30340,TN05,OSM01012,Loan Fraud,50519.49,12,Cuddalore,11.4413,79.6493,0.72,24,16.52,3,0.37,OSM01012,Withdrawal Attempted
HC30341,TN13,OSM01457,Phishing,47874.7,23,Madurai,9.9155,78.0956,0.93,11,43.42,13,0.42,OSM01457,Withdrawal Detected
HC30342,TN03,OSM01038,Job Fraud,165039.87,3,Chennai,13.1027,80.28,0.63,24,5.59,11,0.94,OSM01038,Withdrawal Detected
HC30343,TN29,OSM01382,Job Fraud,249375.01,4,Thoothukudi,9.0753,77.9349,0.93,21,5.24,10,0.28,OSM01382,No Activity
HC30344,TN31,OSM00974,Loan Fraud,255908.68,23,Tirunelveli,8.7106,77.7705,0.81,19,35.22,16,0.5,OSM00974,Withdrawal Detected
HC30345,TN29,OSM01419,UPI Fraud,122432.97,2,Thoothukudi,8.7403,78.1224,0.8,10,38.54,8,0.37,OSM01419,Withdrawal Attempted
HC30346,TN34,OSM00180,Card Skimming,172866.11,5,Tiruvannamalai,12.109,79.2462,0.74,19,24.3,5,0.61,OSM00180,No Activity
HC30347,TN16,OSM01502,Identity Theft,286304.47,8,Kanniyakumari,8.0926,77.5503,0.51,16,45.38,13,0.78,OSM01502,Withdrawal Attempted
HC30348,TN22,OSM00956,OTP Fraud,245042.28,12,Salem,11.4452,78.1574,0.57,25,1.17,19,0.29,OSM00956,Withdrawal Detected
HC30349,TN12,OSM00332,SIM Swap,93916.61,4,Krishnagiri,12.528,77.7897,0.92,18,49.4,7,0.23,OSM00332,Withdrawal Attempted
HC30350,TN30,OSM00184,Phishing,287346.76,21,Tiruchirappalli,10.8144,78.6677,0.79,23,42.44,5,0.36,OSM00184,Withdrawal Detected
HC30351,TN03,OSM01304,Job Fraud,102526.94,5,Chennai,12.981,80.1609,0.71,3,26.52,15,0.49,OSM01304,Withdrawal Attempted
HC30352,TN03,OSM00999,Loan Fraud,182661.56,13,Chennai,13.079,80.2374,0.6,13,28.59,7,0.15,OSM00999,Withdrawal Attempted
HC30353,TN38,OSM01237,Identity Theft,251180.25,10,Virudhunagar,9.5177,77.6329,0.73,19,36.24,15,0.83,OSM01237,Withdrawal Detected
HC30354,TN03,OSM01069,Phishing,34590.64,3,Chennai,12.9834,80.1674,0.71,10,45.74,6,0.28,OSM01069,Withdrawal Attempted
HC30355,TN04,OSM00668,Investment Scam,275502.11,1,Coimbatore,11.0171,76.9643,0.7,13,12.55,4,0.29,OSM00668,No Activity
HC30356,TN16,OSM00214,Job Fraud,133926.02,10,Kanniyakumari,8.1748,77.4034,0.43,16,48.61,8,0.67,OSM00214,Withdrawal Detected
HC30357,TN03,OSM00150,Identity Theft,238498.6,13,Chennai,13.0219,80.1739,0.59,5,37.42,12,0.76,OSM00150,Withdrawal Detected
HC30358,TN08,OSM00426,Identity Theft,150720.61,22,Erode,11.455,77.4382,0.68,2,10.79,14,0.61,OSM00426,Withdrawal Detected
HC30359,TN29,OSM01384,Loan Fraud,207160.41,18,Thoothukudi,8.8004,78.1474,0.84,16,34.57,18,0.89,OSM01384,No Activity
HC30360,TN30,OSM00784,Investment Scam,227048.71,3,Tiruchirappalli,10.819,78.6969,0.78,19,17.19,12,0.32,OSM00784,Withdrawal Attempted
HC30361,TN26,OSM00750,OTP Fraud,109872.71,6,Theni,10.228,77.3514,0.64,25,35.19,6,0.61,OSM00750,No Activity
HC30362,TN13,OSM00434,Card Skimming,110754.16,2,Madurai,9.9188,78.1218,0.55,2,15.94,17,0.67,OSM00434,No Activity
HC30363,TN33,OSM01006,OTP Fraud,110942.68,5,Tiruppur,11.1537,77.2121,0.74,16,46.58,8,0.3,OSM01006,No Activity
